"","id","timestamp","time","t_end","training.solves","solve.rate","total.solves","total.arrivals","n_observation_opportunities","eigenvector","exploration","n_days_net","log_num_trapped_per_day","any_beh_prop","age","sex","colony","prop_days_trapped","bold"
"11","D47CB6A",2024-07-16 12:47:51,5.2475,21.1666666666667,0,0.454545454545455,4,11,2,0.0734026017891516,2,3,-2.484906649788,0,"A","F","Crow",0.0833333333333333,-0.509825550248441
"12","D47CB8A",NA,21.1666666666667,21.1666666666667,18,0,0,20,2,0.373357982337487,3,4,-0.693147180559945,0,"A","F","Crow",0.5,0.803282052774885
"13","D47CB8E",2024-07-10 13:49:40,1.96111111111111,21.1666666666667,388,1.44827586206897,39,24,5,0.313164997036339,3.5,2,0.45953232937844,0.210526315789474,"A","F","Crow",0.833333333333333,1.30448807699556
"14","D47CB96",NA,21.1666666666667,21.1666666666667,0,0,0,2,1,0.294300121357488,2,2,-2.484906649788,0,"A","F","Crow",0.0833333333333333,-0.509825550248441
"15","D47CBAA",2024-07-10 15:02:39,2.79416666666667,21.1666666666667,5,0.56989247311828,158,279,3,0.682124753655031,4,4,0,0.25,"A","F","Crow",0.666666666666667,0.903300679515319
"16","D47CBB3",2024-07-16 11:08:06,4.20166666666667,21.1666666666667,66,0.588235294117647,10,17,2,0.47669505446057,3,3,-0.287682072451781,0,"A","M","Crow",0.666666666666667,1.10043093093702
"17","D47CBD6",NA,21.1666666666667,21.1666666666667,0,0.142857142857143,1,7,1,0.139480737613203,2,4,-2.484906649788,0,"A","F","Crow",0.0833333333333333,-0.509825550248441
"18","D47CBDD",2024-07-16 13:15:26,5.70722222222222,21.1666666666667,113,0.274193548387097,12,83,8,0.540176000768875,4,5,-0.8754687373539,0.2,"A","F","Crow",0.416666666666667,0.343297414449997
"19","DF62BAB",NA,21.1666666666667,21.1666666666667,0,1,1,1,1,0.44851283710941,3.5,2,-2.484906649788,1,"P","M","Crow",0.0833333333333333,-2.14166849300908
"20","DF62BAC",2024-08-04 12:05:17,16.9380555555556,21.1666666666667,2,0.244444444444444,12,52,2,0.363046085317842,2.5,4,0.348306694268216,0.117647058823529,"P","F","Crow",0.75,1.37453969513093
"21","DF62BAF",NA,21.1666666666667,21.1666666666667,0,0.111111111111111,1,9,2,0.862404237841032,5,5,-1.09861228866811,0.5,"P","M","Crow",0.333333333333333,-0.309788296767573
"22","DF62BB2",NA,21.1666666666667,21.1666666666667,0,0,0,17,0,0.353167171125453,3,5,-0.182321556793955,0.2,"P","F","Crow",0.583333333333333,0.851276776880591
"23","DF62BB7",2024-07-10 13:00:17,1.13805555555556,21.1666666666667,0,1.37078651685393,114,82,3,1,7,4,0.606135803570315,0,"P","F","Crow",0.416666666666667,1.75547368018976
"24","DF62BBD",2024-07-31 13:25:45,12.2625,21.1666666666667,10,0.428571428571429,7,27,2,0,0,0,-0.538996500732687,0.142857142857143,"A","F","Crow",0.416666666666667,0.683132392780393
"25","DF62BBF",NA,21.1666666666667,21.1666666666667,9,0,0,0,0,0.0623624267678494,3,1,-0.182321556793955,0.1,"P","M","Crow",0.583333333333333,1.01446107115665
"26","DF62BC1",NA,21.1666666666667,21.1666666666667,0,0,0,3,0,0.0723914322422654,2,1,-1.38629436111989,0.333333333333333,"A","F","Crow",0.25,-0.248644957242588
"27","DF62BC3",2024-07-30 10:44:01,9.98361111111111,21.1666666666667,0,0.192307692307692,15,90,3,0.974674717321275,4,5,-1.79175946922805,0.5,"P","F","Crow",0.166666666666667,-0.817767659198167
"28","DF62BCE",2024-07-30 11:11:43,10.2286111111111,21.1666666666667,0,0.211180124223602,36,192,2,0.945089442993873,5,3,-1.09861228866811,0.5,"P","F","Crow",0.25,-0.309788296767573
"29","DF62BD0",2024-07-10 12:19:37,0.826944444444444,21.1666666666667,0,0.157894736842105,3,19,5,0.0708538292750311,5,1,-0.693147180559945,0.5,"P","F","Crow",0.25,-0.0126394186054343
"30","DF62BDC",2024-07-23 12:27:15,6.67083333333333,21.1666666666667,0,0.391304347826087,100,259,3,0.83730997402992,5,5,-0.693147180559945,0.333333333333333,"P","F","Crow",0.5,0.259334405188006
"31","DF62BE1",NA,21.1666666666667,21.1666666666667,0,0.166666666666667,1,6,1,0.616542652931347,4,3,-1.94591014905531,1,"P","F","Paradise",0.142857142857143,-1.74665989097837
"32","DF62BE7",NA,21.1666666666667,21.1666666666667,0,0.125,1,8,1,0.0447060411939825,3,1,-1.79175946922805,1,"A","M","Crow",0.166666666666667,-1.63368913057849
"33","DF62BE8",NA,21.1666666666667,21.1666666666667,0,0,0,5,0,0.295177159657892,4,1,-0.538996500732687,0,"P","M","Crow",0.416666666666667,0.91625281317477
"34","DF62BEA",NA,21.1666666666667,21.1666666666667,0,0,0,4,0,0.285225233648041,1,3,-2.484906649788,0,"A","F","Crow",0.0833333333333333,-0.509825550248441
"35","DF62BF4",2024-07-10 13:13:32,1.35888888888889,21.1666666666667,0,2.28215767634855,550,241,2,0.799965661134056,5,5,-0.405465108108164,0.125,"A","M","Crow",0.583333333333333,0.810132169198261
"36","DF62BF6",2024-07-30 11:50:12,10.87,21.1666666666667,0,0.166666666666667,4,24,6,0.0835076979120673,2,1,-1.09861228866811,0.25,"P","F","Crow",0.166666666666667,0.0981724389225867
"37","DF62BF7",NA,21.1666666666667,21.1666666666667,0,0,0,0,0,0,2,1,-0.8754687373539,0,"P","M","Crow",0.25,0.669666003002125
"38","DF62BF8",NA,21.1666666666667,21.1666666666667,0,1,1,1,1,0,0,0,-1.38629436111989,0.333333333333333,"P","F","Crow",0.25,-0.248644957242588
"39","DF62BF9",2024-08-01 13:52:14,14.4038888888889,21.1666666666667,0,0.333333333333333,6,16,2,0.236149086354392,2,3,-2.484906649788,0,"A","M","Crow",0.0833333333333333,-0.509825550248441
"40","DF62C07",NA,21.1666666666667,21.1666666666667,3,0.0588235294117647,1,17,1,0.303259429525429,1,3,-1.09861228866811,0.25,"A","M","Crow",0.333333333333333,0.0981724389225867
