"","id","timestamp","time","t_end","training.solves","solve.rate.visit","solve.rate.day","total.solve.days","total.solves","total.arrivals","colony","n_observation_opportunities","eigenvector","mobility","n_days_net","log_num_trapped_per_day","any_beh_prop","age","sex","prop_days_trapped","bold"
"23","DF62BB7",2024-07-10 13:00:17,1.13805555555556,21.1666666666667,0,1.37078651685393,17.4285714285714,7,114,82,"Crow",3,1,7,4,0.606135803570315,0,"P","F",0.416666666666667,1.75547368018976
"24","DF62BBD",2024-07-31 13:25:45,12.2625,21.1666666666667,10,0.428571428571429,6,1,7,27,"Crow",2,0,0,0,-0.538996500732687,0.142857142857143,"A","F",0.416666666666667,0.683132392780393
"25","DF62BBF",NA,21.1666666666667,21.1666666666667,9,NA,0,0,0,0,"Crow",0,0.0623624267678494,3,1,-0.182321556793955,0.1,"P","M",0.583333333333333,1.01446107115665
"26","DF62BC1",NA,21.1666666666667,21.1666666666667,0,0,0,1,0,3,"Crow",0,0.0723914322422654,2,1,-1.38629436111989,0.333333333333333,"A","F",0.25,-0.248644957242588
"27","DF62BC3",2024-07-30 10:44:01,9.98361111111111,21.1666666666667,0,0.192307692307692,5,3,15,90,"Crow",3,0.974674717321275,4,5,-1.79175946922805,0.5,"P","F",0.166666666666667,-0.817767659198167
"28","DF62BCE",2024-07-30 11:11:43,10.2286111111111,21.1666666666667,0,0.211180124223602,8.5,4,36,192,"Crow",2,0.945089442993873,5,3,-1.09861228866811,0.5,"P","F",0.25,-0.309788296767573
"29","DF62BD0",2024-07-10 12:19:37,0.826944444444444,21.1666666666667,0,0.157894736842105,3,1,3,19,"Crow",5,0.0708538292750311,5,1,-0.693147180559945,0.5,"P","F",0.25,-0.0126394186054343
"30","DF62BDC",2024-07-23 12:27:15,6.67083333333333,21.1666666666667,0,0.391304347826087,19.8,5,100,259,"Crow",3,0.83730997402992,5,5,-0.693147180559945,0.333333333333333,"P","F",0.5,0.259334405188006
"31","DF62BE1",NA,21.1666666666667,21.1666666666667,0,0.166666666666667,1,1,1,6,"Crow",1,0.616542652931347,4,3,-1.94591014905531,1,"P","F",0.142857142857143,-1.74665989097837
"32","DF62BE7",NA,21.1666666666667,21.1666666666667,0,0.125,1,1,1,8,"Crow",1,0.0447060411939825,3,1,-1.79175946922805,1,"A","M",0.166666666666667,-1.63368913057849
"33","DF62BE8",NA,21.1666666666667,21.1666666666667,0,0,0,1,0,5,"Crow",0,0.295177159657892,4,1,-0.538996500732687,0,"P","M",0.416666666666667,0.91625281317477
"34","DF62BEA",NA,21.1666666666667,21.1666666666667,0,0,0,1,0,4,"Crow",0,0.285225233648041,1,3,-2.484906649788,0,"A","F",0.0833333333333333,-0.509825550248441
"35","DF62BF4",2024-07-10 13:13:32,1.35888888888889,21.1666666666667,0,2.28215767634855,78.5714285714286,7,550,241,"Crow",2,0.799965661134056,5,5,-0.405465108108164,0.125,"A","M",0.583333333333333,0.810132169198261
"36","DF62BF6",2024-07-30 11:50:12,10.87,21.1666666666667,0,0.166666666666667,4,1,4,24,"Crow",6,0.0835076979120673,2,1,-1.09861228866811,0.25,"P","F",0.166666666666667,0.0981724389225867
"37","DF62BF7",NA,21.1666666666667,21.1666666666667,0,NA,0,0,0,0,"Crow",0,0,2,1,-0.8754687373539,0,"P","M",0.25,0.669666003002125
"38","DF62BF8",NA,21.1666666666667,21.1666666666667,0,1,1,1,1,1,"Crow",1,0,0,0,-1.38629436111989,0.333333333333333,"P","F",0.25,-0.248644957242588
"39","DF62BF9",2024-08-01 13:52:14,14.4038888888889,21.1666666666667,0,0.333333333333333,5,1,6,16,"Crow",2,0.236149086354392,2,3,-2.484906649788,0,"A","M",0.0833333333333333,-0.509825550248441
"40","DF62C07",NA,21.1666666666667,21.1666666666667,3,0.0588235294117647,0.5,2,1,17,"Crow",1,0.303259429525429,1,3,-1.09861228866811,0.25,"A","M",0.333333333333333,0.0981724389225867
"41","D47CADF",2024-07-13 08:49:01,0.1,21.2833333333333,1008,1.04044943820225,66.1428571428571,7,463,445,"Paradise",2,0.359605422312641,9,5,0.133531392624523,0,"A","F",1,1.40912113907405
"42","D47CB09",NA,21.2833333333333,21.2833333333333,0,0,0,2,0,3,"Paradise",0,0.543219114670283,5,5,-1.25276296849537,0,"A","F",0.285714285714286,0.393162414212862
"43","D47CB24",NA,21.2833333333333,21.2833333333333,774,NA,0,0,0,0,"Paradise",0,0.133735826304285,2,1,0,0.142857142857143,"A","F",0.714285714285714,1.0781409948111
"44","D47CB2C",NA,21.2833333333333,21.2833333333333,0,0,0,1,0,2,"Paradise",0,0.40355232533618,1.5,4,-1.94591014905531,1,"A","F",0.142857142857143,-1.74665989097837
"45","D47CB3E",NA,21.2833333333333,21.2833333333333,4,NA,0,0,0,0,"Paradise",0,1.48075063174234e-19,1,1,-1.25276296849537,1,"A","F",0.285714285714286,-1.23868052854778
"46","D47CB4B",NA,21.2833333333333,21.2833333333333,0,NA,0,0,0,0,"Paradise",0,8.32724792883047e-18,2,1,-1.25276296849537,0.5,"A","M",0.285714285714286,-0.422759057167458
"47","D47CBAD",NA,21.2833333333333,21.2833333333333,248,0,0,4,0,48,"Paradise",0,0.207825927137309,2,4,NA,NA,"A","M",0,-2.14166849300908
"48","D47CBB0",2024-07-25 10:15:49,7.88027777777778,21.2833333333333,388,0.3,7.5,2,15,74,"Paradise",5,0.45787652317563,3.5,4,-0.847297860387204,0,"A","F",0.285714285714286,0.690311292375001
"49","DF62BAE",2024-08-05 12:11:17,17.9713888888889,21.2833333333333,0,0.134328358208955,4.5,2,9,68,"Paradise",3,0.544262836538384,3,2,-0.336472236621213,0.6,"P","F",0.571428571428571,0.0855688393764502
"50","DF62BB1",2024-07-25 10:18:23,7.92305555555556,21.2833333333333,273,0.308724832214765,11.5,4,47,157,"Paradise",3,0.66147068056695,2,5,-0.154150679827258,0.166666666666667,"A","M",0.571428571428571,0.926316831012155
"51","DF62BB8",2024-07-25 09:49:23,7.43972222222222,21.2833333333333,0,0.157894736842105,4.5,2,9,57,"Paradise",3,0.151670980707472,2,3,-0.847297860387204,0,"P","M",0.428571428571429,0.690311292375001
"52","DF62BD3",2024-07-25 09:03:43,7.09527777777778,21.2833333333333,0,0.6875,48.4,5,242,429,"Paradise",5,1,10,5,-1.94591014905531,1,"A","M",0.142857142857143,-1.74665989097837
"53","DF62BDE",2024-07-25 10:18:11,7.91972222222222,21.2833333333333,0,1.03333333333333,31,4,124,129,"Paradise",5,0.626724525804108,5,4,-1.25276296849537,0.5,"A","M",0.142857142857143,-0.422759057167458
"54","DF62BE1",NA,21.2833333333333,21.2833333333333,0,0,0,1,0,5,"Paradise",0,0.000664769840061934,2,1,-1.94591014905531,1,"P","F",0.142857142857143,-1.74665989097837
"55","DF62BEA",NA,21.2833333333333,21.2833333333333,0,0,0,1,0,1,"Paradise",0,0,0,0,-2.484906649788,0,"A","F",0.0833333333333333,-0.509825550248441
"56","DF62BFD",2024-07-18 09:37:45,3.6125,21.2833333333333,202,0.57948717948718,37.6666666666667,6,228,417,"Paradise",10,0.953717898522792,8,5,-1.94591014905531,1,"A","M",0.142857142857143,-1.74665989097837
"57","DF62C05",NA,21.2833333333333,21.2833333333333,8,0.0454545454545455,0.333333333333333,3,1,22,"Paradise",1,2.66721039429848e-17,2,3,-0.336472236621213,0,"P","F",0.571428571428571,1.06467460503283
"58","DF62C09",NA,21.2833333333333,21.2833333333333,0,NA,0,0,0,0,"Paradise",0,1.48075063174234e-19,1,1,-1.25276296849537,1,"A","M",0.285714285714286,-1.23868052854778
